,appropriate_for,director,downloads,industry,posted_date,release_date,run_time,storyline,title,views,writer,is_good
10558,R,John Swab,377.0,Hollywood / English,"20 Feb, 2023",Jan 28 2023,105.0,"Doc
 facilitates a fragile truce between the Governor and Cartel, trading 
prosecutorial leniency for finance. With no more truce, Doc is left to 
fend for himself and protect the one untainted thing in his life: his 
daughter, Little Dixie.",Little Dixie,3632.0,John Swab,0
11360,R,Noah Pritzker,1466.0,Hollywood / English,"27 Jul, 2016",Jul 22 2016,95.0,"Quitters tells the story of the Raymans, a wealthy Jewish family that's falling apart. The son, Clark, is a bright and curious high schooler with a talent for manipulation. As his mother May enters treatment for a pill addiction, and he and his father Roger stop getting along, Clark thinks about running away from home. He just needs to decide where to go.",Quitters,11561.0,Noah Pritzker,0
15741,R,John Crowley,3923.0,Hollywood / English,"29 Aug, 2013",Aug 28 2013,96.0,A high-profile terrorism case unexpectedly binds together two ex-lovers on the defense team - testing the limits of their loyalties and placing their lives in jeopardy.,Closed Circuit,15544.0,Steven Knight,0
14336,TV-14,Simone Stock,766.0,Hollywood / English,"15 Feb, 2023",Feb 11 2023,88.0,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,The Girl Who Escaped: The Kara Robinson Story,7803.0,Haley Harris,0
372,R,Richard Hughes,16596.0,Hollywood / English,"26 Sep, 2022",Jan 01 1970,90.0,"An
 enforcer has to sacrifice everything to save a young girl he has 
befriended from his femme fatale boss who is involved in cybersex 
trafficking.",The Enforcer,43176.0,W. Peter Iliff,0
11461,Not Rated,Rajiv Dhingra,18734.0,Punjabi,"14 Mar, 2016",Mar 11 2016,130.0,"The story of Love Punjab revolves around a family in which husband and 
wife fights daily for small reasons and their son is only victim of 
these fights. After suffering from all these things, their son gets 
depression. Then a psychiatrist suggests them to go to Punjab. 
Eventually, grasping for a solution, his father announces they are all 
going to Punjab to help the child understand his heritage and his 
homeland. However before their arrival, the boy's relatives in Punjab 
transform the village with a huge 'western' makeover, while still 
attempting to hold on to all that makes Punjab great. After spending 
time in Punjab, the child begins to love it. Meanwhile the parents find 
themselves getting emotionally involved like they had not in a long 
while. They leave Punjab with a heavy heart, and head to Canada where 
the mother is set to be engaged to her friend. But during the ceremony 
she realizes her love for her husband and runs off. The parents express 
their love for each other, and a year later they are shown to be a happy
 family, with their son and a new daughter.",Love Punjab,61144.0,Amberdeep Singh,1
15516,R,Malcolm D. Lee,2908.0,Hollywood / English,"03 Feb, 2014",Nov 15 2013,123.0,"When college friends reunite after 15 years over the Christmas holidays, they discover just how easy it is for long-forgotten rivalries and romances to be reignited.",The Best Man Holiday,17086.0,Malcolm D. Lee,0
13596,R,Peng Zhang Li,39074.0,Hollywood / English,"16 Mar, 2015",Oct 01 2010,93.0,"A Shaolin Monk comes to the United States to take care of his deceased 
brother's son. He establishes a school with a former student who leads 
him into trouble with the Russian Mafia.",Last Kung Fu Monk (The Last Kung Fu Monk),97576.0,"Peng Zhang Li, Todd McGorry",0
16002,Not Rated,Richard Rich,6094.0,Anime / Kids,"11 Oct, 2013",Oct 08 2013,45.0,"Kate & Humphrey and their 3 wolf cubs (Stinky, Claudette and Runt) are happily preparing to celebrate their first winter together when their smallest cub, Runt, mysteriously disappears. They must now go on a new journey across the wilderness to find and bring back Runt before the winter snows block their way home. It's their greatest adventure yet, filled with action and suspense as well as plenty of the humor and heartwarming moments that were delivered in the first theatrical release. While their adventure does not end exactly as planned, Kate & Humphrey discover that ""Home is where the Family Is.""",Alpha and Omega 2: A Howl-iday Adventure,20746.0,"Tom Kane, Steve Moore",0
6124,Not Rated,Siddharth Anand,205452.0,Bollywood / Indian,"04 Oct, 2019",Oct 02 2019,154.0,"India's top agent Kabir (Hrithik Roshan) leads the Elite Shadow Unit of R&AW, a compact group of the crème de la crème of the armed forces who are personally trained by him and work with him on various high-risk missions across the world. Among Kabir and Colonel Luthra's key targets are an international arms baron Rizwan Ilyasi who has been key in various acts of terrorism against the country. Khalid (Tiger Shroff) has fought his way up the ranks of the Indian armed forces. His greatest challenge and battle has been to fight against the sins of his father, once a decorated soldier working with Kabir who had turned a traitor. His ambition has been to join Kabir's team to remove any stains on their family name. Kabir is not keen due to their past history, but Colonel Luthra requests him to, and gradually Kabir is also impressed by Khalid's intense dedication and grit. Khalid becomes Kabir's greatest soldier ever, flirting with death repeatedly in mission after mission as they go after ...",War,542879.0,"Siddharth Anand, Aditya Chopra, Shridhar Raghavan",0
19107,R,Debra Granik,5656.0,Hollywood / English,"18 Oct, 2010",Sep 17 2010,100.0,"With an absent father and a withdrawn and depressed mother, 17 year-old Ree Dolly keeps her family together in a dirt poor rural area. She's taken aback however when the local Sheriff tells her that her father put up their house as collateral for his bail and unless he shows up for his trial in a week's time, they will lose it all. She knows her father is involved in the local drug trade and manufactures crystal meth, but everywhere she goes the message is the same: stay out of it and stop poking your nose in other people's business. She refuses to listen, even after her father's brother, Teardrop, tells her he's probably been killed. She pushes on, putting her own life in danger, for the sake of her family until the truth, or enough of it, is revealed.",Winter's Bone,21663.0,"Debra Granik, Anne Rosellini, Daniel Woodrell",1
4733,Not Rated,Sy Gowthamraj,10315.0,Tollywood,"07 Sep, 2020",Jul 05 2019,134.0,"Story of a rural Government school headmistress, who saves the school from its decline and reforms the same by handling the hindrances from private school owners, Govt. officials, politicians and even her colleagues.",Raatchasi (Madam Geeta Rani),35512.0,"Bharathi Thambi, Sanjeev Tiwari",1
17919,R,Abe Sylvia,21505.0,Hollywood / English,"30 Jan, 2012",Jan 28 2012,90.0,"A comedic story of the search for identity and the redemptive power of unexpected friendship. Danielle is the dirty girl of Norman High School. When Danielle's misbehavior gets her banished to special ed, she teams up with an innocent closet-case and together they head out on a road trip to discover each other and themselves through a funny and serendipitous friendship.",Dirty Girl,75943.0,Abe Sylvia,0
6976,R,Rob Heydon,1981.0,Hollywood / English,"10 Jun, 2019",May 24 2019,81.0,A young couple's dream of starting a family shatters as they descend into the depths of paranoia and must struggle to survive an evil presence that wants nothing more than their very own lives.,Isabelle,13042.0,Donald Martin,0
12693,R,Johnny Tabor,2305.0,Hollywood / English,"07 Oct, 2015",Oct 06 2015,90.0,"Five friends embark on an epic road trip, but when one friend disappears at a rest stop, their search brings them face to face with a violent biker gang. After a narrow escape from death, their nightmare goes from bad to spine-chilling when they find themselves being stalked in an abandoned town.",Eaters,11262.0,Johnny Tabor,0
1003,TV-MA,Jennifer Kaytin Robinson,2901.0,Hollywood / English,"17 Sep, 2022",Sep 16 2022,118.0,Drea and Eleanor agree to go after one another's bullies.,Do Revenge,15912.0,"Celeste Ballard, Jennifer Kaytin Robinson",0
9698,R,Benny Boom,2456.0,Hollywood / English,"24 Jun, 2017",Jun 16 2017,139.0,"Tells the true and untold story of prolific rapper, actor, poet and activist Tupac Shakur.",All Eyez on Me,24158.0,Jeremy Haft,0
12559,R,Adam Salky,6007.0,Hollywood / English,"07 Nov, 2015",Nov 06 2015,85.0,"Laney Brooks does bad things. Married with kids, she takes the drugs she
 wants, sleeps with the men she wants, disappears when she wants. Now, 
with the destruction of her family looming, and temptation everywhere, 
Laney makes one last desperate attempt at redemption.",I Smile Back,28382.0,"Paige Dylan, Amy Koppelman",0
4333,Not Rated,Buddhadev Dasgupta,19392.0,Bollywood / Indian,"21 Nov, 2020",Sep 08 2014,137.0,"This a journey of a detective,his life and how things are to him. His life is about following people, finding though he is still in search for himself, how he connects to the people he meets and gets intertwined in their lives.",Anwar Ka Ajab Kissa,72686.0,Buddhadev Dasgupta,0
13305,PG-13,Liv Ullmann,2753.0,Hollywood / English,"11 May, 2015",Sep 10 2014,129.0,"Over the course of a midsummer night in Fermanagh in 1890, an unsettled 
daughter of the Anglo-Irish aristocracy encourages her father's valet to
 seduce her.",Miss Julie,15503.0,"August Strindberg, Liv Ullmann",0
14520,R,David Gordon Green,15871.0,Hollywood / English,"23 Sep, 2014",Aug 03 2008,111.0,"Lazy court-process clerk and stoner Dale Denton has only one reason to visit his equally lazy dealer Saul Silver: to purchase weed, specifically, a rare new strain called Pineapple Express. But when Dale becomes the only witness to a murder by a crooked cop and the city's most dangerous drug lord, he panics and dumps his roach of Pineapple Express at the scene. Dale now has another reason to visit Saul: to find out if the weed is so rare that it can be traced back to him--and it is. As Dale and Saul run for their lives, they quickly discover that they're not suffering from weed-fueled paranoia: incredibly, the bad guys really are hot on their trail and trying to figure out the fastest way to kill them both. All aboard the Pineapple Express.",Pineapple Express,59346.0,"Seth Rogen, Evan Goldberg, Judd Apatow",0
4363,PG,Sue Ann Taylor,65.0,Hollywood / English,"17 Nov, 2020",Nov 10 2020,94.0,"Coming home from his last deployment, Sgt. Major JOHN FROST arrives a month early due to a PTSD incident and is happy to be home for Christmas. He finds his wife, JILL and son JIMMY too busy to give him the welcome he anticipates. In his absence, they have adopted a dog - a little dog, CHARLIE, which is not his cup of tea. JILL, owner of JILL'S CAKES AND BAKES, has been struggling to pay the bills and has taken on too many holiday parties for her catering business, and forgets an important wedding. John finds solace with the fellow vets at the Moose Lodge until HANK, a retired Vietnam vet, is found by Charlie having suffered a heart attack and is then discovered to be homeless living in tented camp with CAPT. JACK. John finds his purpose as he rallies friends, family and community to build a new house for the vets and give them a warm Christmas Eve and a new start on civilian life.",Charlie's Christmas Wish,1400.0,Sue Ann Taylor,0
13070,Not Rated,Sarah Adina Smith,2968.0,Hollywood / English,"09 Jul, 2015",Jun 26 2015,84.0,"Spirit Lake is unusually deep. No diver has ever managed to find the bottom, though many have tried. When Dr. Amelia Brooks disappears during a deep-water dive, her three daughters travel home to settle her affairs. They find themselves unable to let go of their mother and become drawn into the mysteries of the lake.",The Midnight Swim,20343.0,Sarah Adina Smith,0
17114,R,John Swab,449.0,Hollywood / English,"20 Feb, 2023",Jan 28 2023,105.0,"Doc
 facilitates a fragile truce between the Governor and Cartel, trading 
prosecutorial leniency for finance. With no more truce, Doc is left to 
fend for himself and protect the one untainted thing in his life: his 
daughter, Little Dixie.",Little Dixie,4390.0,John Swab,0
4431,TV-14,Remi Weekes,858.0,Hollywood / English,"31 Oct, 2020",Oct 30 2020,93.0,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",His House,7093.0,"Remi Weekes, Felicity Evans, Toby Venables",0
18244,PG-13,Alex Ranarivelo,11465.0,Hollywood / English,"17 Sep, 2011",Sep 16 2011,99.0,"Born To Race is the story of Danny Krueger, a rebellious young street racer on a collision course with trouble. After an accident at an illegal street race, he is sent to a small town to live with his estranged father, a washed up NASCAR racer. When Danny decides to enter the NHRA High School Drags, he's forced to seek his father's help in taking down the local hot shot.",Born to Race,32130.0,"Steve Sarno, Alex Ranarivelo, Ali Afshar",0
18629,PG-13,Hyung-rae Shim,3017.0,Hollywood / English,"12 Apr, 2011",Dec 29 2010,100.0,"Young-goo (Hyung-rae Sim) the son of mafia boss Don Carini (Harvey Keitel), is too foolish to be part of the mafia elite. One day, Young-goo comes to his father and is trained by Tony V (Michael Rispoli) to be his father's successor. A few days later, Young-goo accidentally rescues Nancy (Jocelin Donahue), the only daughter of Don Bonfante, the boss of a rival mafia family. But Vinnie (Jason Mewes), an under-boss of the Bonfante family kidnapped her and fabricates that Young-goo has taken her. Vinnie's behavior provokes an armed conflict between the two families.",The Last Godfather,15613.0,Hyung-rae Shim,0
10107,TV-14,Ivan Silvestrini,4287.0,Hollywood / English,"02 May, 2017",Jan 01 1970,83.0,A mother and her son plan a surprise visit to Los Angeles to see her husband/his father. Halfway there they get into a terrible accident in the middle of nowhere and now must fight to survive.,Monolith,27735.0,"Mauro Uzzeo, Roberto Recchioni, Ivan Silvestrini",0
